,titles,category,title
0,레바논 시리아도 이스라엘 공격    확전 대비 비상계획 수립,World,
1,이스라엘군    만 병력 가자지구 인근 배치 완료  지상전 일촉즉발,World,
2,러 항공사  제재로 미국산 엔진 수리 불가에 항공기 운항 줄여,World,
3, 자막뉴스     필요한 조치할 것    동결자금 걸린 이란에  엄포 ,World,
4,이스라엘 지상전 가자 전체 전장서 백병전으로  도처에 부비트랩,World,
5,바이든  하마스는 완전한 악 피에 굶주린 잔인함    떠올라 ,World,
6,지갑 닫은   명품족    루이비통도 성장세 꺾여,World,
7, 대의 위해 비행기 탔다  이스라엘  전세계서 예비군   만명 총동원령  이 팔 전쟁 ,World,
8,예비군 연령 넘겼지만 이스라엘   세 경영인  두 아들과 입대 ,World,
9,중국  이스라엘   팔레스타인에 모두 여행 금지령,World,
10,이스라엘  가자지구   곳 추가 공습 희생자     명 넘어,World,
11,영국도  빈대주의보  런던 지하철 맨체스터 버스서 빈대 출몰,World,
12,지상군 투입 임박    국민들  마음의 준비하고 있어    녹취록 ,World,
13,카타르  협상 중재  손사래   너무 이르다   이 팔 전쟁 ,World,
14, 무소속 출마  케네디   대선판도 흔들까  출마  시간만    억원 모금  돌풍 ,World,
15, 전기차 불공정 보조금 조사 나선     풍력 철강도 해보자 ,World,
16,  시카고에서 철새 약  천마리 떼죽음  충격  집단 폐사 이유는 ,World,
17, 뉴스앤이슈   경보 울리면 방공호 대피    현지 상황은 ,World,
18,  서열  위 하원의장 선출 코앞인데 누구 하나    표 얻을 사람이 없네,World,
19,중동전쟁 국채수익률 급등   금리인상 물건너간 듯,World,
20,레바논 시리아도 이스라엘 공격    확전 대비 비상계획 수립,World,
21,이스라엘  접경지역 주민에 대피령 지상전 임박했나,World,
22,    중국 전기차 이어 철강도 반보조금 조사,World,
23,바이든  이스라엘  반격하되 국제법 지켜야     유엔   도 우려,World,
24,하원의장 선거     공화당  분열 지속 후보 결론 못 낸듯,World,
25,대만총통 선거 석달 앞  야권 단일화 논의 최대 변수 제 야당 후보  여론조사  제안,World,
26,영국 정부는 왜  금연세대 정책 을 내놓았을까 ,World,
27,세계가 우려하는 일이   시리아 레바논서도 이스라엘 공격  지금이뉴스 ,World,
28, 울 할아버지 재산은 수백억원     손녀     자랑에     대 공산당원  제명 ,World,
29, 안보보좌관  모든 긴장고조 시나리오 대비 비상계획 수립 ,World,
30, 하마스  암호화폐로 수천만달러 자금 조성 정황  이 팔 전쟁 ,World,
31,중동 화약고 또 시한폭탄되나 바이든  악    시아파  개입말라 ,World,
32,유럽연합     경제정책  삐걱   마크롱과 숄츠의 어색한 관계 탓  조은아의 유로노믹스 ,World,
33, 영상  아이언 돔도 당했는데   장사정포  벌떼 공격  막을 수 있나,World,
34, 올댓차이나  홍콩 증시    경기부양 기대에 상승 개장  주       ,World,
35,바이든  이스라엘에 필요한 군사자산 투입 준비돼 있다 ,World,
36,이스라엘군 가자 장벽에 수십만 병력 탱크 집결  수일 내 지상작전 관측 ,World,
37,이스라엘 국방  지상전 곧 개시   가자인근 병력집결  주민엔 대피령,World,
38,이스라엘  전투기    대 등 전력 압도  하마스는 미사일  만기 보유,World,
39, 철의 검  이스라엘  제약 해제  전면 공격  군에 백지위임장 ,World,
40,러시아 인접 핀란드 에스토니아 연결 해저 가스관 파손  사보타주 가능성,World,
41, 다윗  필리핀  미국 뒷배 믿고  골리앗  중국과 맞짱,World,
42,전세계서 귀국 이스라엘  예비군   만명 총동원,World,
43,이스라엘  전면적 공격  예고 양측 사망자     명 넘어,World,
44,도대체 왜    곳곳서  원인불명 쓰나미  속출  긴급 기자회견까지,World,
45, 스브스픽   대지진 전조   일본 잇따르는  원인 불명  쓰나미,World,
46, 명품 싹쓸이  하던   돌변하자 세계  위     도  휘청 ,World,
47,대만  동부 전략지역에 미사일기지 신설  우회 공격대비,World,
48,바이든  이스라엘에 추가 군사지원  상황별 비상계획 수립,World,
49,파손된 핀란드 에스토니아 해저 가스관  노르드스트림 이어  사보타주  무게,World,
50, 중국 연간 신생아 수 당분간  천만명 선 유지될 듯 ,World,
51,이스라엘  이집트 가자지구 유일 통행로에 재차 공습,World,
52,가자지구 지상전 임박한듯 고속도로에 탱크 헬기 집결 이 팔 전쟁 ,World,
53,돈줄 막히는 기업들 이 팔 전쟁  첨단기술 산업까지 위협  이 팔 전쟁 ,World,
54,묶이면 전세계 경제  초토화    중동 최악의 시나리오   녹취록 ,World,
55,이스라엘  금기  백린탄 쐈나  불바다 영상  확산  이 팔 전쟁 ,World,
56,   세  최고령 스카이다이버  할머니  등극  일 만에 영면,World,
57,우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World,
58,커지는 미중     격차  금세기에 미국 따라잡을 수 없을 것 ,World,
59,국제유가   이 팔 전쟁 에 전날 급등 후 소폭 하락 브렌트유      달러,World,
60,임박한 이스라엘 지상군 투입   가자 점령  아닌  하마스 무력화  목표,World,
61, 불바다 영상  확산 이스라엘  가자지구에 백린탄 쐈나,World,
62, 무소속 출마  케네디   대선 변수로    시간 만에    억 모금 ,World,
63, 속보  이스라엘의 가자지구 지상전 임박 탱크 헬기 집결,World,
64,영국으로 번진  빈대주의보  런던 지하철 맨체스터 버스에 등장,World,
65, 이스라엘  백린탄 사용  주장  불바다 영상  확산,World,
66, 영영 하늘로 돌아갔다       세 할머니   최고령 스카이다이버  등극  일 만에 영면,World,
67, 너무 늦은 나이란 없다       세 할머니  기네스 기록 세우고 영면  지금이뉴스 ,World,
68, 이 팔 전쟁  우크라전 잊혀진 전쟁 될라 젤렌스키  연일 러시아 때리기,World,
69,젤렌스키  곧 우크라 곡물 루마니아 몰도바 통해 수출 ,World,
70,유럽 또 난방비 비상 타마르 가스전 폐쇄 여파  이 팔 전쟁 ,World,
71, 여야  하원의장 후보 선출 논의 매카시  당 선택 받는 자에 투표 ,World,
72,러  우크라 에너지 시설 공격 지난해보다  주 빨리 시작,World,
73,호주 전 총리  대만 찾아   견제   자유 추구하는 대만 지지 ,World,
74,  최신형 무기  이스라엘 도착  하마스 레바논에 대응,World,
75, 속보      여명 사상자 난 아프간 북서부에 또 규모     강진,World,
76,이스라엘  당근과 채찍  정책에서  하마스 전면 제거 로 전환,World,
77,대만  중국  이 팔 전쟁 틈타  제 전선  만들려하지 말라 ,World,
78,이 신발 신었더니  신기록 달성   기술 도핑 테스트 필요한 거 아냐  ,World,
79, 뉴스라이브  이스라엘 하마스 무력충돌 격화   미국 이란 참전할까 ,World,
80,젤렌스키  러  우크라에 대한 지지 약화 위해 중동 분쟁 일으키려 해 ,World,
81, 불바다 영상  확산 이스라엘  가자지구에 백린탄 쐈나,World,
82,   맛집 비결    년 안 닦은 항아리   씨간장도 울고 갈  노포 봤더니,World,
83,미 장기 국채 금리 상승에 힘 실리는 기준금리 동결 가능성,World,
84,바이든    독립에 목숨 바친 폴란드 장군 소환한 까닭은 ,World,
85, 중동특사  이 팔 분쟁 근본적 해결법은  두 국가 해법  ,World,
86,이스라엘  레바논 국경 지역서도 교전     전면봉쇄 반대 ,World,
87,중국서 진주가격 폭등 후쿠시마 핵오염수 방류 때문 ,World,
88,  정부  이 팔 각각 수장과 전화 협의 조율 균형 외교 모색 ,World,
89,아프가니스탄 북서부에 또 규모     강진,World,
90,사우디  팔레스타인 편에 섰다  전선 확대,World,
91,  집중 육성 신에너지차 등록 대수 올해  천만대 돌파 전망,World,
92,      치솟던   국채금리   월 이후 최대폭 하락  이유는 ,World,
93,시상식 도우미는 왜 항상 여자일까,World,
94, 걔 마이크 주지 마    연예기획사 자니즈가 성착취 보도 막은  치밀한  방법,World,
95,레바논 시리아서도 이스라엘 공격      중동 확전  대비 비상계획 수립,World,
96,이스라엘 전선 확대되나 친이란 세력 움직임에    개입 마라  경고,World,
97,이스라엘  지상전 준비 박차 예비군  만명 추가 소집,World,
98,엔화  중동 지정학 리스크에  달러    엔대 중반 반등 출발,World,
99,푸틴도 기시다도 움직이는데  시진핑  이 팔 전쟁  중재에 나설까 ,World,
100,하마스 침공 성공  우연 아니었다 역대 전투  열공  전략집단 진화,World,
101,      상공 낙하  일 뒤  하늘로 올라간     살 스카이다이버,World,
102,   맛집 비결    년 안 닦은 항아리   씨간장도 울고 갈  노포 봤더니,World,
103,이 팔 충돌 지속에  민주당서도  한국발 이란 자금 재동결하라 ,World,
104, 북한  이스라엘 전쟁 이용 기회주의적 도발가능성  바이든 안보공약 시험대 ,World,
105,  국방부  항공모함 제럴드 포드 호 동지중해 도착 ,World,
106,이스라엘  레바논  로켓   발 중  발 요격 ,World,
107,아르헨티나 또 국가부도  페소화 폭락  달러당  천 페소 돌파,World,
108,대만 국경일에 차이잉원  중국에  평화는 유일한 선택지   대만은 지금 ,World,
109,세계 각국 군용기 국적기 투입해 이스라엘 자국민 대피,World,
110,이스라엘  시리아에서도 포탄 날아왔다 원점 대응 포격 ,World,
111,일본인   명 중  명 이상  중국에 좋지 않은 인상 있다 ,World,
112,  핵항모  이스라엘에  척 더 온다    인질 구조 특수부대도 파견,World,
113,   년 안 씻은 항아리가 맛의 비법   유명식당 논란,World,
114, 이 팔 전쟁  세계 각국  군용기 국적기 투입해 자국민 대피,World,
115,하마스 전쟁자금 어디서  암호화폐로 수백만달러 모금,World,
116,국제유가  중동 긴장 고조에도 하락              ,World,
117,율동 한 번에   년치 월급 벌었다  교사 화제에  청년들  라방할래 ,World,
118,세상에 딱    장     억원에 팔릴 거라는 이 우표  뭐길래,World,
